批次号 (溯源码)	产品名称	GS1-128标准码	隐形防伪码
B-FARMER-20260209-AJ41	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-AJ(3102)002730	cede2a0d42564522
B-FARMER-20260209-2M7D	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-0gjuqip(3102)013650	90b09e812d9b4a2a
B-FARMER-20260209-2KXS	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-03t9o5l(3102)007330	dfa47d94dcb74ab4
B-FARMER-20260209-AZ89	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-AZ(3102)036650	6ea3110fa75a4214
B-FARMER-20260209-9EJ2	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-9E(3102)004200	365a8aa3aa894647
B-FARMER-20260209-TXKU	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-TX(3102)021000	ef9d542130f542e9
B-FARMER-20260209-T8SL	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-016kn47(3102)004620	15ef9497325f4182
B-FARMER-20260209-H73F	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-H7(3102)023100	ec7c24c2c1e147ba
B-FARMER-20260209-Q59Z	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-Q5(3102)007500	7c59027d847744b9
B-FARMER-20260209-JF6Q	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-JF(3102)037500	98b3185609b54b4a
B-FARMER-20260209-4SH1	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-4S(3102)009510	d5e4bea90ddf4069
B-FARMER-20260209-MM4D	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-202-0b20s9b(3102)047550	c4cf6732235f4bb8
B-FARMER-20260209-QY0H	云南三七 精制片	(01)06912345678901(10)B-FARMER-202-08ukxy6(3102)004710	de0e9e59ebdc4136
B-FARMER-20260209-9JFO	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-9J(3102)023550	5d17d503f3174e0f
B-FARMER-20260209-FNH5	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-0eruwbf(3102)002570	ff74c14fb0fd4a43
B-FARMER-20260209-51R1	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-51(3102)012850	a52ea21397c54d49
B-FARMER-20260209-WA57	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-05wifb1(3102)009490	b6446840d2864e93
B-FARMER-20260209-ODJF	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-0frt20d(3102)047450	fae7d74395ff40a9
B-FARMER-20260209-KTW3	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-KT(3102)007600	25e992fe687e4540
B-FARMER-20260209-1OEQ	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-1O(3102)038000	e6353c76cffa48cb
B-FARMER-20260209-0I7Y	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-0cqcmo1(3102)003890	f786d030e46645d8
B-FARMER-20260209-XBV2	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-XB(3102)019450	89f3849583934724
B-FARMER-20260209-PCHI	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-PC(3102)003540	ee64ced97c10449a
B-FARMER-20260209-VGX9	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-0dcybss(3102)017700	0d39889c21c44e00
B-FARMER-20260209-Q2RV	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-0gqbr3f(3102)005930	ba3029affbd447b8
B-FARMER-20260209-C0DA	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-C0(3102)029650	c1daf9c0a8a84f1b
B-FARMER-20260209-E6DE	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-0gn1zte(3102)004250	e84a93cd3f0348ab
B-FARMER-20260209-6QW4	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-6Q(3102)021250	a3fe41654e4140dd
B-FARMER-20260209-N5SA	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-N5(3102)008650	1bd0a1435f0349cb
B-FARMER-20260209-BD4T	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-BD(3102)043250	d1b8167ea6034eef
B-FARMER-20260209-GOQX	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-GO(3102)004200	103c54ad0b164c42
B-FARMER-20260209-66XM	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-202-0gbppi9(3102)021000	3346c6b202524728
B-FARMER-20260209-RM6X	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-RM(3102)005180	666c6960e2704b7d
B-FARMER-20260209-PPIC	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-05h8s2i(3102)025900	f60f9465bc0642af
B-FARMER-20260209-KNUV	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-KN(3102)002470	0125860e676841b0
B-FARMER-20260209-TQIA	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-TQ(3102)012350	1827c9d5ee4840bb
B-FARMER-20260209-FLI8	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-01ux5g1(3102)004740	e4faaa7a4d99422b
B-FARMER-20260209-5I3I	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-5I(3102)023700	cdc44fb917cd4444
B-FARMER-20260209-8RCF	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-8R(3102)008970	1d5476f7444241e7
B-FARMER-20260209-RW0E	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-RW(3102)044850	f76230600b0544a8
B-FARMER-20260209-B9HA	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-B9(3102)004840	9a0247ed9c93490f
B-FARMER-20260209-K7ZX	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-02xsr2i(3102)024200	e894d27107074034
B-FARMER-20260209-CXYH	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-CX(3102)009680	252fc38aa35d40e1
B-FARMER-20260209-66D2	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-00zvyoh(3102)048400	939c8257872d4196
B-FARMER-20260209-5ZNP	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-5Z(3102)001730	9e1374511ea34a29
B-FARMER-20260209-456L	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-45(3102)008650	99575852dddf43aa
B-FARMER-20260209-5X4D	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-0eg9amm(3102)009040	c36d7856574c418d
B-FARMER-20260209-0R8S	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-0R(3102)045200	38a572ee5ecb400b
B-FARMER-20260209-PIYC	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-PI(3102)009040	468d2c4e1a8f4663
